titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
Code Breaker - Edição Ampliada,9783415284784,Peter Thiel;Sam Newman,Cosac Naify,1939-06-01,deu,1272
Macunaíma - Edição Especial,9782008199269,Frank Herbert,Planeta,1905-03-04,por,820
Infinite Jest - Parte 3,9782053809137,Eric Evans;Robert Cialdini,Simon & Schuster,2022-10-17,eng,955
The Emperor of All Maladies - 2024,9780762927630,Donald Knuth,O'Reilly Media,1915-11-10,eng,255
Accelerate - Handbook,9786943083621,George Orwell,Springer,1959-02-12,por,418
Predictably Irrational - Edição Comemorativa,9782060076881,Robert Cialdini;Betsy Beyer,Oxford University Press,1953-12-18,spa,1341
Crítica da Razão Pura - Edição Premium,9789989135262,Dan Simmons,Signet Classic,1911-09-07,por,383
Factfulness - Edição Revisada,9781800550254,Fyodor Dostoevsky,Yale University Press,1938-06-25,por,802
Infinite Jest - Edição Comemorativa,9780025112872,Suzanne Collins;Chico Buarque;Aurélien Géron,Cosac Naify,2018-03-18,eng,1230
Measure What Matters - Edição Ampliada,9786794475729,Eric Ries,Record,1908-05-23,eng,1441
Cryptonomicon - 2020,9789921942828,Nick Bostrom,Manning Publications,1947-11-23,por,182
Invisible Cities - Tomo I,9787591677415,Charles Duhigg;Kay Redfield Jamison,Cosac Naify,1994-05-13,por,721
The Brain That Changes Itself - Edição Crítica,9783589228010,Carol Dweck,Dutton,1906-10-26,por,228
Fundamentals of Software Architecture - 2016,9784509548898,Ian Goodfellow,Scribner,1957-10-26,eng,560
Enlightenment Now - Edição Definitiva,9786471550862,Orson Scott Card;Alex Xu,Pearson,1951-11-19,por,761
The DevOps Handbook - Edição Atualizada,9786964134296,Paul Clements,Prentice Hall,1908-03-09,eng,1206
A Arte da Sedução - Edição Clássica,9787743783582,Mark Richards,No Starch Press,1953-07-16,eng,652
Refactoring - Vol. 1,9786432731187,Marcel Proust,Sams Publishing,1955-04-08,eng,1281
Siddhartha,9782165861221,Johann Hari;Orson Scott Card,MIT Press,1954-11-20,eng,1185
Admirável Mundo Novo - Edição Definitiva,9787802029569,Robert Tibshirani,Tor Books,1938-01-09,eng,761
The Name of the Rose - Nível Intermediário,9781755799098,Isaac Asimov,Random House,2013-07-22,por,779
Brave New World - Parte 2,9783411746118,Nassim Nicholas Taleb,HarperCollins,1993-03-18,eng,348
Pattern Recognition and Machine Learning - Vol. 4,9786047048519,James Clear,Objetiva,1990-02-23,por,682
21 Lições para o Século 21 - Advanced Topics,9786513997402,Thomas Pynchon,Knopf,2022-05-01,ita,585
Underworld - Nova Edição,9785353833406,Marcel Proust;Orson Scott Card;Siddhartha Mukherjee,Wiley,1970-06-06,eng,338
Gödel Escher Bach - in Practice,9783974307245,James Baldwin,Dutton,2012-01-21,eng,860
The Algorithm Design Manual - Nível Avançado,9784817390073,Suzanne Collins;Aldous Huxley;Martin Fowler,Harvard University Press,1967-07-24,eng,892
PostgreSQL Up and Running - in Depth,9786254604539,Adam Grant;Neal Stephenson,Bloom,1966-01-05,deu,317
Terraform in Practice - Vol. 5,9782799622373,Clarice Lispector;Nassim Nicholas Taleb,Sams Publishing,1953-03-17,spa,1412
Maybe You Should Talk to Someone - Edição Atualizada,9784569198675,Baron Schwartz,Cambridge University Press,2005-05-27,eng,1158
Good to Great - Edição Premium,9788760105562,Clayton Christensen;Mark Richards,Vintage Books,1914-03-22,por,110
Competitive Programming - 2022,9786691622622,Neal Stephenson,Cambridge University Press,1974-06-05,eng,1147
Cryptonomicon - Vol. 5,9782716039895,Daniel Kahneman,Harvard University Press,1906-05-04,ita,1024
Site Reliability Engineering - Vol. 4,9781735830773,Arthur C. Clarke;Gabriel García Márquez,Houghton Mifflin,1907-06-19,eng,1230
Dom Casmurro - Parte 2,9789321785520,Clarice Lispector,Pearson,1993-12-06,spa,1280
The Castle - in Depth,9788736686422,William Faulkner,Houghton Mifflin,1944-05-16,ita,228
Surely You're Joking Mr. Feynman - Edição Clássica,9781303035760,Kent Beck,Manning Publications,1946-03-12,eng,1003
Getting Things Done - Edição Integral,9785933421085,Joseph Heller,Puffin Books,1902-07-22,eng,1455
Dare to Lead - Manual do Desenvolvedor,9785322712060,Joseph Heller;Andy Weir,Random House,1953-02-03,por,1270
A Montanha Mágica - Handbook,9783506431691,Trevor Hastie,Oxford University Press,1943-04-23,eng,1083
Notes from Underground - Advanced Topics,9782604411161,Martin Fowler,Bantam Spectra,1913-08-28,eng,570
Algorithms - Parte 1,9787840000476,Peter Norvig;James Clear,Oxford University Press,1958-12-27,por,254
Fundamentals of Software Architecture - Vol. 5,9782906188921,Jonathan Franzen,O'Reilly Media,1999-03-17,eng,575
Siddhartha - in Action,9784816700736,Peter Thiel,Intrínseca,2023-10-23,por,174
The Left Hand of Darkness - Tomo II,9788356976033,Isabel Allende,Orbit,1900-02-18,por,906
Siddhartha - 2018,9783489970958,João Guimarães Rosa,Houghton Mifflin,1950-02-09,eng,397
Pálido Ponto Azul - 2020,9783753907796,Eric Evans;Yoshua Bengio,Sams Publishing,1980-11-11,fra,591
Ser e Tempo - Edição Clássica,9783199030355,Seth Godin,Wiley,2008-01-26,eng,336
Foundation - Manual do Desenvolvedor,9785061752105,Max Tegmark,Doubleday,1961-09-20,eng,789
Oblomov - Vol. 4,9784710831932,Siddhartha Mukherjee;Nassim Nicholas Taleb,Crown,1935-06-12,por,173
Ready Player One - 2016,9785613869312,Steven Pinker,Dutton,1973-10-21,por,1466
Surely You're Joking Mr. Feynman - Vol. 1,9784403482168,Len Bass,Pearson,1912-04-09,por,965
No Rules Rules - Nível Iniciante,9782565088303,Brené Brown;Gabriel García Márquez,Prentice Hall,1974-07-23,por,323
The Idiot - Tomo III,9781760349639,João Guimarães Rosa,Farrar Straus and Giroux,1941-12-14,eng,1213
No Rules Rules - 2021,9787182861025,Steve McConnell,Penguin Books,1991-10-01,eng,651
Memórias Póstumas de Brás Cubas - 2018,9789775414038,Robert C. Martin,Cosac Naify,1941-12-02,jpn,425
Ready Player One - 2ª Edição,9787718817595,J.K. Rowling;Douglas Hofstadter,St. Martin's Press,2015-08-14,zho,290
A Random Walk Down Wall Street - 2024,9789607440921,Chris Richardson;Ivan Turgenev;Carl Sagan,Companhia das Letras,1980-05-19,eng,949
Macunaíma - Vol. 2,9786522044111,Stuart Russell;Peter Norvig,Alfaguara,2016-03-27,eng,505
Code Complete - Nível Avançado,9785316867295,Isaac Asimov,Companhia das Letras,1939-07-22,por,450
The Road - Illustrated,9780488937760,Max Tegmark,Farrar Straus and Giroux,1983-01-04,spa,102
The Phoenix Project - 5ª Edição,9786708444315,Thomas Pynchon,Del Rey,2024-10-12,eng,1057
Test Driven Development - Edição de Bolso,9787981218648,Sam Newman,Vintage Books,2010-10-01,kor,60
The Time Machine,9788192881423,Paul Clements,Orbit,1956-08-27,por,658
Man's Search for Meaning - 2ª Edição,9780988951594,David Foster Wallace;William Faulkner,Bloom,1985-02-12,eng,562
2001 A Space Odyssey - Parte 1,9782249968594,Andy Weir;Eric Evans,Manning Publications,1987-01-14,eng,1350
The Left Hand of Darkness - Nível Avançado,9785462776519,Jonathan Franzen;Peter Thiel,Addison-Wesley,1936-07-12,spa,739
Deep Learning - 2022,9786882839785,Michael Feathers;John Steinbeck,Packt Publishing,1952-09-05,eng,729
Sapiens - Handbook,9789227050159,Thomas Mann,Packt Publishing,1930-08-24,por,701
Vidas Secas - Parte 3,9786402895963,Ernest Hemingway,Norton,1911-02-19,spa,1030
Guerra e Paz - Vol. 2,9783461517683,Thomas Pynchon,No Starch Press,1993-01-21,eng,1140
The DevOps Handbook - Illustrated,9789904110435,Richard Dawkins,Bloom,1992-10-08,eng,201
Oblomov - Vol. 2,9789822497243,Eric Evans,Penguin Books,1969-02-12,por,1394
Homo Deus - Guia Completo,9788008344432,Nick Bostrom,Little Brown,2021-07-03,eng,989
High Output Management - Manual do Desenvolvedor,9782991378702,Toni Morrison;Machado de Assis,Scribner,1963-05-04,spa,242
Hyperion - Manual do Desenvolvedor,9789579367530,Robert C. Martin,Norton,1999-10-09,por,1215
Os Miseráveis - Tomo I,9781912378715,Kay Redfield Jamison;Martin Fowler;J.R.R. Tolkien,Tor Books,1956-08-17,eng,575
Database Internals - Edição Comemorativa,9786803275647,Nassim Nicholas Taleb;Don DeLillo,Houghton Mifflin,1955-05-22,eng,786
Dois Irmãos - 4ª Edição,9789786086422,Bessel van der Kolk;Ivan Turgenev,Manning Publications,1946-01-28,por,565
American Gods - Edição Definitiva,9788017394503,Chico Buarque,Companhia das Letras,2000-09-04,por,1412
When Breath Becomes Air - Cookbook,9786621443976,Aurélien Géron,Princeton University Press,1999-08-11,zho,402
Dune - 2018,9783455947847,Ivan Turgenev;Leo Tolstoy,McGraw-Hill,2010-01-20,eng,1263
The DevOps Handbook - Step by Step,9782352354314,Douglas Hofstadter,Objetiva,1988-02-23,eng,85
Terraform in Practice - Reference,9784414102871,Thomas Pynchon;Eric Evans,Penguin Books,1993-01-13,kor,1295
Artificial Intelligence A Modern Approach - Nível Intermediário,9783657810512,Michael Feathers;Andy Weir,Prentice Hall,1965-12-26,eng,1099
Homo Deus - 2018,9786205370711,James Clear,Addison-Wesley,1975-05-18,por,1165
Incognito - 2018,9789177962793,Franz Kafka,Dutton,1999-05-21,jpn,170
Sapiens - Edição Clássica,9784573742574,Simon Sinek;Martin Fowler,Packt Publishing,2004-06-14,por,889
Infinite Jest - 2ª Edição,9783013135396,Clarice Lispector;Chico Buarque,Random House,1977-02-25,jpn,910
A Metamorfose - Tomo II,9782206872148,Carol Dweck;Ursula K. Le Guin,Yale University Press,1943-02-24,eng,1139
Man's Search for Meaning - Edição Ampliada,9781445817002,Brian Greene;Ursula K. Le Guin,Cosac Naify,1903-04-16,por,62
The Name of the Rose - Tomo II,9788632226302,Umberto Eco,Intrínseca,1938-12-04,spa,541
Database Internals - Nível Intermediário,9783191515157,Paul Clements,Packt Publishing,1954-03-24,spa,567
The Dispossessed - Tomo III,9782504908471,Yoshua Bengio;Steven Pinker,HarperCollins,1945-09-08,eng,276
Cryptonomicon - 3ª Edição,9787291727458,Hermann Hesse,Sams Publishing,1938-12-07,eng,747
PostgreSQL Up and Running - Fundamentals,9783696428907,Graciliano Ramos;Adam Grant;Toni Morrison,Iluminuras,2001-11-25,eng,248
Dois Irmãos - Nível Intermediário,9784749029089,Christopher Bishop;Michael Lewis;Orson Scott Card,Cosac Naify,1930-09-08,eng,1131
Incognito - Tomo II,9789218319302,Donald Knuth,Iluminuras,1916-03-15,eng,1360
Cosmicomics - Edição Crítica,9784688017864,Juan Rulfo,Signet Classic,1941-02-19,ita,1411
Competitive Programming - Nova Edição,9783769042603,Kent Beck,Norton,1962-03-12,por,635
Test Driven Development,9787556700738,Hans Rosling,Leya,2007-01-27,spa,871
Crime e Castigo - 2021,9785664178876,Anton Chekhov,Planeta,1971-04-23,por,262
Remote - Vol. 4,9788059302788,Machado de Assis,Planeta,1901-05-05,spa,624
Good Omens - Illustrated,9784012471478,Franz Kafka;Steven Pinker;Erich Gamma,Wiley,1969-09-25,eng,99
The Intelligent Investor - A Deep Dive,9786290742394,J.K. Rowling;Ursula K. Le Guin,Scribner,1967-04-23,eng,747
Thinking in Bets - Vol. 3,9785721550850,Nikolai Gogol;Max Tegmark,MIT Press,1904-06-23,jpn,517
Maybe You Should Talk to Someone - Nível Avançado,9780319880715,Angela Duckworth,HarperCollins,1975-09-23,eng,487
Zero to One - Fundamentals,9783172356809,Kurt Vonnegut,Signet Classic,1931-10-05,por,1017
Dead Souls - Edição Atualizada,9788609200076,F. Scott Fitzgerald,No Starch Press,1932-06-07,por,1472
The Bell Jar - Parte 2,9783765991004,Kevin Wayne,Crown,1968-03-24,fra,1361
Sobre a Brevidade da Vida - in Depth,9782294563997,Roger Penrose;Erich Gamma,Random House,1995-11-26,eng,318
The Road - Edição Revisada,9789636083663,Michio Kaku,Penguin Books,1944-02-26,eng,313
O Alquimista - Edição de Bolso,9788217058267,Yuval Noah Harari,Prentice Hall,1945-04-05,deu,614
Além do Bem e do Mal - 2021,9782001291014,Don DeLillo,Yale University Press,1937-08-22,eng,1389
Ética a Nicômaco - Edição Bilíngue,9780349163697,Peter Norvig;Cal Newport,Packt Publishing,1991-02-19,por,511
Project Hail Mary - Illustrated,9786978802747,Marcel Proust,Bantam Spectra,2002-12-20,eng,444
Meditações - Parte 3,9786307336141,Anton Chekhov,Knopf,1903-03-18,por,828
Domain-Driven Design - 2021,9783658438494,David Foster Wallace;Seth Godin,Sams Publishing,1917-03-12,eng,380
Microservices Patterns - Cookbook,9788840155777,Hans Rosling;Neil deGrasse Tyson,Oxford University Press,1908-02-22,por,81
Good to Great - Edição Ilustrada,9786376790592,Jonathan Franzen,Alfaguara,1994-04-26,rus,794
Dune - For Beginners,9780946836093,Brendan Burns,Sams Publishing,1930-10-19,zho,1391
Admirável Mundo Novo - Handbook,9785987715079,Aldous Huxley,Apress,2008-04-13,rus,1422
Fundamentals of Software Architecture - 2020,9785983352964,Malcolm Gladwell,Bantam Spectra,1949-01-20,por,1026
O Alquimista - Vol. 2,9786862090915,Adam Grant,McGraw-Hill,2019-12-21,spa,1171
Sapiens - 5ª Edição,9785400651328,Suzanne Collins,Puffin Books,2001-12-28,eng,642
Snow Crash - Parte 2,9787657892035,Trevor Hastie,Intrínseca,1948-03-20,por,104
Factfulness,9784090669286,James Baldwin,Little Brown,1993-11-11,spa,1229
Man's Search for Meaning - Edição Integral,9789077463079,William Faulkner,O'Reilly Media,1928-09-11,eng,75
Shape Up - Nível Intermediário,9780774293068,Isabel Allende,Scribner,1941-05-05,eng,1483
Siddhartha - Fundamentals,9785040986309,J.R.R. Tolkien,Packt Publishing,1973-12-28,eng,1101
Good to Great - Tomo II,9786501351612,Neal Stephenson;Alex Xu,Intrínseca,1944-06-05,eng,129
A Revolução dos Bichos - Guia Completo,9783833482540,Mark Richards;Richard Feynman,Crown,1920-06-21,eng,532
Measure What Matters - Edição Bilíngue,9787255598865,Nikolai Gogol,Iluminuras,1922-07-14,por,1226
O Pequeno Príncipe - 2024,9781864057218,Jorge Luis Borges;Cal Newport,Tor Books,1977-12-24,rus,852
The Cherry Orchard - Nível Intermediário,9789106287942,Martin Kleppmann;Kevin Wayne,MIT Press,2022-04-26,eng,1455
The Left Hand of Darkness - 4ª Edição,9785485403386,Chris Richardson;Yoshua Bengio,Rocco,1978-07-09,zho,1235
Cem Anos de Solidão - Nível Intermediário,9787082454204,Douglas Hofstadter;William Gibson,Harvard University Press,2006-09-12,eng,230
2001 A Space Odyssey - 2017,9787636413763,Peter Norvig,Del Rey,1951-11-10,por,575
O Gene Egoísta - Patterns and Practices,9785487784926,Stephen Hawking,MIT Press,1980-12-04,por,367
Domain-Driven Design - Nível Iniciante,9780867948110,Douglas Adams,Record,1975-07-08,eng,738
Rich Dad Poor Dad - Edição Atualizada,9782140154119,Kief Morris;Carol Dweck,Addison-Wesley,1944-02-27,eng,289
Predictably Irrational - Vol. 5,9782013028196,Mário de Andrade;Kay Redfield Jamison;Neil deGrasse Tyson,Simon & Schuster,2009-06-19,por,304
The Bell Jar - Vol. 4,9784358442378,Thomas Pynchon,Pearson,1996-11-24,eng,804
Memórias Póstumas de Brás Cubas - 2017,9781420934540,Daniel Kahneman;Brené Brown;Frank Herbert,Objetiva,2015-12-04,jpn,746
Dead Souls - Reference,9783023277093,J.R.R. Tolkien;Aldous Huxley,Doubleday,1965-05-04,ita,1448
São Bernardo - Edição Ilustrada,9785994804247,Aurélien Géron;Kay Redfield Jamison,Apress,2018-08-27,por,1389
O Lobo da Estepe - Edição Clássica,9787959271392,Hermann Hesse;Roger Penrose,Oxford University Press,1901-01-14,eng,853
Enlightenment Now - 4ª Edição,9787421326285,Nassim Nicholas Taleb,Doubleday,2006-06-08,por,555
Invisible Man - in Practice,9781396559235,Neal Ford;Ivan Turgenev;Douglas Hofstadter,Record,1971-09-25,zho,440
Ulisses - Edição Ampliada,9786484423221,Seth Godin,Vintage Books,1965-09-01,eng,512
Sprint - Vol. 1,9780256327090,Kief Morris,Knopf,1969-11-10,spa,274
Radical Candor - A Deep Dive,9784074662524,Ralph Ellison,Random House,2024-06-10,eng,690
As 48 Leis do Poder - 2019,9782261803699,Milton Hatoum,Manning Publications,1976-02-19,eng,1188
Manual de Epicteto - in Action,9789219236974,Peter Norvig,O'Reilly Media,1918-07-27,eng,1447
Antifragile - Edição Especial,9785989292035,Yuval Noah Harari,Del Rey,1947-01-19,zho,1480
The Cherry Orchard - Edição Comemorativa,9788521199281,Sam Newman,Puffin Books,2009-09-21,jpn,978
Harry Potter e a Pedra Filosofal - 2017,9782616459182,Sam Newman,Leya,1902-01-19,eng,255
Radical Candor - Step by Step,9783349275926,Michael Feathers,Bantam Spectra,1959-09-17,por,308
Kubernetes in Action - Edição Clássica,9780807173602,Neal Ford;Neil Gaiman,Yale University Press,1967-05-11,eng,1257
Além do Bem e do Mal - Edição Anotada,9789797160074,Neal Ford;Leo Tolstoy,Princeton University Press,1979-03-21,por,152
O Universo Elegante - Parte 3,9786368005864,Nick Bostrom,Bantam Spectra,1914-03-13,eng,1139
Influence - Edição Integral,9782441261844,William Faulkner,McGraw-Hill,1952-07-21,por,639
Os Irmãos Karamazov - Edição Crítica,9788975971938,Thomas Mann;Baron Schwartz,Intrínseca,1934-03-22,por,306
Moby Dick - Essentials,9782438967490,Sam Newman;Mário de Andrade,Little Brown,2014-05-27,rus,741
The Intelligent Investor - Patterns and Practices,9787499459335,Joseph Heller,Prentice Hall,1980-08-19,kor,132
Manual de Epicteto - Edição Comemorativa,9780333335208,Stuart Russell;Arthur C. Clarke,Manning Publications,1969-10-05,eng,1305
Maybe You Should Talk to Someone - Edição Especial,9789022544457,Cal Newport;Ian Goodfellow,Simon & Schuster,1966-12-14,por,584
Dom Quixote - Nível Avançado,9781298336705,Neil deGrasse Tyson,Objetiva,1984-11-27,por,1157
Maybe You Should Talk to Someone - Edição Anotada,9783629242785,Brené Brown,Princeton University Press,1929-02-19,por,1105
O Idiota - 2024,9783657517428,Max Tegmark,Princeton University Press,1982-09-04,por,1485
Thinking in Bets - Edição Definitiva,9783409670951,Graciliano Ramos,Simon & Schuster,1923-07-10,eng,139
O Hobbit - Manual do Desenvolvedor,9787247967204,Ivan Turgenev,Houghton Mifflin,1945-02-17,deu,337
Liar's Poker - Manual do Desenvolvedor,9781138430778,James Watson,Rocco,1906-01-04,eng,907
Factfulness - Nível Intermediário,9780065179392,George Orwell;Eric Ries,MIT Press,1991-01-21,eng,1247
O Processo - Guia Completo,9783975326955,Chico Buarque;Donald Knuth;Brendan Burns,Manning Publications,1987-11-16,eng,807
Orgulho e Preconceito - 3ª Edição,9787917291660,Richard Dawkins;Roger Penrose,Orbit,2018-08-27,eng,1098
The Body Keeps the Score - Applied,9781734495751,Neil Gaiman,Oxford University Press,1949-06-14,eng,812
The Big Short - Cookbook,9780470876657,James Watson;Chico Buarque,Leya,1914-07-26,por,1160
Dois Irmãos - Edição de Bolso,9785393000752,H.G. Wells,Manning Publications,1964-01-24,spa,570
Mindfulness - Vol. 4,9787105025824,Ian Goodfellow;Fyodor Dostoevsky,Alfaguara,2023-01-03,por,1331
The Body Keeps the Score - Edição Integral,9785515614492,John Steinbeck;Roger Penrose,Planeta,1996-04-02,eng,927
The Great Gatsby - Illustrated,9785065166960,Ursula K. Le Guin,Dutton,1998-12-03,fra,134
Incognito - 2ª Edição,9785899709456,Sam Newman,Princeton University Press,1985-09-24,eng,698
The Phoenix Project - Advanced Topics,9789016623199,Robert Cialdini,Planeta,1946-11-26,eng,1090
Estoicismo - Edição Revisada,9785354449484,Thomas Mann;Mário de Andrade,Record,1955-08-21,eng,152
Test Driven Development - Edição Comemorativa,9787751146942,F. Scott Fitzgerald,Companhia das Letras,1982-07-08,eng,1064
Dune - Essentials,9786401555806,Martin Fowler;Alex Xu,Pragmatic Bookshelf,1943-02-21,por,269
When Breath Becomes Air - Manual do Desenvolvedor,9784318840138,Malcolm Gladwell;Nassim Nicholas Taleb,Farrar Straus and Giroux,1933-08-18,eng,834
Effective Java - 2019,9785021466882,Kurt Vonnegut,Scribner,1936-08-18,deu,502
Cosmicomics - 3ª Edição,9781469491141,George Orwell,Bloom,1970-06-16,spa,893
The DevOps Handbook - in Depth,9785679458444,Robert Cialdini,Little Brown,1912-09-26,por,903
O Lobo da Estepe - Essentials,9781739905453,Martin Fowler,Puffin Books,2000-01-05,jpn,1329
Thinking Fast and Slow - Edição Ampliada,9782919480180,Michio Kaku,MIT Press,1908-06-22,fra,533
Moby Dick - in Depth,9786339040313,Chris Richardson,Manning Publications,1941-03-01,eng,548
Thinking Fast and Slow - Nova Edição,9787082683116,Clarice Lispector,Cosac Naify,1987-03-10,eng,849
A República - 2017,9788533821682,João Guimarães Rosa;Isaac Asimov,Prentice Hall,1951-04-24,por,832
21 Lições para o Século 21,9784200097312,Malcolm Gladwell,Harvard University Press,1930-08-12,eng,101
Pattern Recognition and Machine Learning - Vol. 3,9788866667933,Thomas Mann,Iluminuras,1970-09-22,eng,1460
Algorithm Design - Vol. 5,9788148144084,Chico Buarque,MIT Press,1958-01-19,eng,114
The Gifts of Imperfection - Edição Revisada,9781079038866,Malcolm Gladwell;Aldous Huxley;Jorge Luis Borges,Tor Books,1989-03-24,eng,1153
Pálido Ponto Azul - Cookbook,9786695746515,Michio Kaku,O'Reilly Media,1999-04-01,por,1306
21 Lições para o Século 21 - Vol. 4,9782075348324,Brian Greene;Donald Knuth,Cosac Naify,1980-12-14,eng,1072
The Lean Startup - Edição Atualizada,9781272059484,Arthur C. Clarke;Donald Knuth,Sams Publishing,1943-08-07,eng,301
Pedro Páramo,9780263154566,Nassim Nicholas Taleb,Dutton,1914-01-07,deu,1393
Vidas Secas - Edição Crítica,9783501997185,Richard Dawkins,Yale University Press,1903-11-15,por,1215
Database Internals,9782063688852,Malcolm Gladwell;Angela Duckworth;Anton Chekhov,Bantam Spectra,1963-02-01,eng,197
Software Architecture in Practice - 2ª Edição,9786082869285,Anton Chekhov,Tor Books,1949-08-24,eng,1038
The Cherry Orchard - Edição Anotada,9781318963911,Machado de Assis;Isabel Allende;Ursula K. Le Guin,Oxford University Press,1957-09-01,por,681
No Country for Old Men - Edição de Bolso,9780039008338,Daniel Kahneman;Trevor Hastie,Springer,1964-03-24,por,1432
Hyperion - Fundamentals,9784169481450,Joseph Heller,Simon & Schuster,1981-08-05,por,1238
Competitive Programming - 2017,9789119736017,Robert C. Martin,Cosac Naify,1984-06-26,eng,110
O Processo - 2019,9784293691794,Chris Richardson,Scribner,1919-10-08,ita,715
Pedro Páramo - Step by Step,9781835076033,Hans Rosling;Stuart Russell;Donald Knuth,MIT Press,1910-07-01,por,1009
The Brain That Changes Itself - Parte 2,9789551887209,Roger Penrose,Rocco,1977-09-24,eng,626
The Name of the Rose - Best Practices,9788879335652,Alex Xu,Pragmatic Bookshelf,2019-07-27,por,464
Admirável Mundo Novo - 2ª Edição,9785801274614,Neil Gaiman;Leo Tolstoy;Neal Ford,Cosac Naify,1926-04-26,zho,888
Code Breaker - Parte 1,9780628196255,Angela Duckworth;James Baldwin,Cosac Naify,1945-01-18,ita,1367
The Time Machine - Nível Avançado,9783915036883,J.K. Rowling,Record,1982-03-25,eng,1141
Incognito - Edição Anotada,9786152875925,Ian Goodfellow;Isaac Asimov,St. Martin's Press,1983-04-20,por,999
The Black Swan - Edição Integral,9780108877858,Milton Hatoum;Isabel Allende,Bloom,1984-04-11,eng,687
O Gene Egoísta - in Depth,9788410045859,Isabel Allende,Dutton,1961-12-26,eng,1263
Invisible Man - Edição Crítica,9784703511483,Don DeLillo,Houghton Mifflin,1979-07-16,eng,958
Lost Connections - Illustrated,9782254288182,Suzanne Collins,Iluminuras,1971-12-09,por,982
Good Omens - Edição Ilustrada,9782143963367,Kurt Vonnegut,Addison-Wesley,1933-03-16,jpn,1217
Maybe You Should Talk to Someone - Applied,9786330685025,Aldous Huxley,Farrar Straus and Giroux,1997-01-27,eng,199
The Great Gatsby - Handbook,9787512058668,Richard Feynman,McGraw-Hill,1993-05-13,eng,435
The Immortal Life of Henrietta Lacks - 2018,9782501703260,Kevin Wayne;Kief Morris,Vintage Books,1929-09-09,por,760
Incognito - Edição Definitiva,9784236959653,Steve McConnell;Günter Grass,Dutton,1913-01-23,por,1252
Assim Falou Zaratustra - 2022,9783395606514,J.K. Rowling;Sam Newman,Intrínseca,1955-11-23,spa,460
Blood Meridian - 2024,9782376828976,Kay Redfield Jamison,Bloom,2013-10-01,fra,1214
The Martian - Tomo III,9787340063834,Martin Kleppmann;Bessel van der Kolk;George Orwell,Cosac Naify,1972-03-03,eng,583
The C Programming Language - Tomo I,9787280219360,Ernest Hemingway;Umberto Eco,Dutton,1930-05-14,jpn,1387
The Tin Drum - Edição Integral,9786996568304,Andy Weir,No Starch Press,2018-03-05,eng,1151
Sapiens - Tomo II,9781471315305,David Foster Wallace;Eric Evans;Kent Beck,Leya,1901-12-24,eng,613
Effective Java - Tomo I,9782434283006,Richard Feynman,Manning Publications,1946-08-16,por,225
Cem Anos de Solidão - Edição Ampliada,9783865269003,Viktor Frankl,Farrar Straus and Giroux,1984-02-20,eng,1307
Structure and Interpretation of Computer Programs - 5ª Edição,9781164598992,Angela Duckworth,Cambridge University Press,2016-01-06,por,1261
Being Mortal - Best Practices,9789336017760,Arthur C. Clarke,Little Brown,1951-04-23,por,318
Java Concurrency in Practice - Advanced Topics,9787815629985,Yuval Noah Harari,Sams Publishing,1992-02-07,eng,769
Hyperion - 2024,9787156925333,Eric Evans,Intrínseca,2009-07-01,por,443
Rendezvous with Rama - Nível Avançado,9783546331685,William Gibson,Penguin Books,1996-05-23,por,563
Foundation - Handbook,9787269992383,Neal Stephenson;Clarice Lispector,Iluminuras,1947-08-19,spa,1088
Ender's Game,9783030547127,J.R.R. Tolkien;Clayton Christensen,Oxford University Press,1979-07-13,spa,402
Code Complete,9788939176430,Seth Godin;Gabriel García Márquez,Little Brown,1926-11-13,spa,1318
Como Fazer Amigos e Influenciar Pessoas - 2020,9789991069487,John Steinbeck,Orbit,1904-10-11,eng,748
White Noise - Cookbook,9786985884262,Kent Beck,Record,1954-06-02,por,1407
Nudge - Tomo III,9781988985183,Ivan Turgenev,Iluminuras,1984-02-04,eng,235
The Innovator's Dilemma - 2021,9781803430980,Nikolai Gogol,Anchor Books,1987-12-12,eng,1320
Cryptonomicon - A Deep Dive,9782983559522,Betsy Beyer,Houghton Mifflin,1971-03-05,spa,140
An Unquiet Mind - in Depth,9780007291359,Ernest Hemingway;Graciliano Ramos,Wiley,2005-08-04,por,847
Rich Dad Poor Dad - Vol. 1,9785588967518,Steve McConnell,Cosac Naify,1926-10-17,ita,1260
Pattern Recognition and Machine Learning - Illustrated,9781446736487,Yoshua Bengio,No Starch Press,1985-09-05,deu,339
Uma Breve História do Tempo - 2016,9785146513584,Martin Fowler,Del Rey,1989-04-16,eng,1194
Snow Crash - 4ª Edição,9788116357065,Seth Godin;Kevin Wayne,Anchor Books,1940-06-21,por,669
Introduction to the Theory of Computation - Edição de Bolso,9782503140810,Viktor Frankl,Little Brown,2004-02-24,por,1034
Como Fazer Amigos e Influenciar Pessoas - Guia Completo,9783628883781,Trevor Hastie,Springer,2021-03-11,jpn,1258
Code Breaker - Edição Anotada,9786909638568,Angela Duckworth;Max Tegmark,Pragmatic Bookshelf,2004-05-28,por,304
Manual de Epicteto - Vol. 4,9781173512675,Aldous Huxley,Record,1944-05-26,por,350
2001 A Space Odyssey - Edição Comemorativa,9781716528965,James Baldwin,Apress,1934-07-08,eng,1031
Shape Up - Edição Clássica,9781780779713,Stephen Hawking,Cosac Naify,2022-01-20,kor,538
